coffee_title,roaster,coffee_origin,coffee_region,variety,roast_level,flavor
Blend Forty-Eight,Cartel Roasting Co.,Colombia,Huila,"Colombia, Caturra, Castillor",Medium-light,milk chocolate    berries    complex
Moonrise Blend,Camber Coffee,"Ethiopia, Peru","Guji, Cajamarca",not disclosed,Light,nectarine    passionfruit    complex
Special Dark Blend,Dillanos Coffee Roasters,not disclosed,"Central America, Papua New Guinea",not disclosed,Very Dark,smoky    caramel    full bodied
Omission Decaf,Dillanos Coffee Roasters,not disclosed,South America,not disclosed,Medium-dark,caramel    chocolate    full bodied
Mass Appeal Espresso Blend,Ceremony Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-light,caramel    nutty    rich
Black Butte Gold Decaf,Sisters Coffee Company,Colombia,Antioquia,"Typica, Caturra, Castillo, Colombia",Medium-dark,dark chocolate    pine    rich
Mexican Maya Vinic,Higher Grounds Coffee,Mexico,Chiapas,Bourbon,Medium,cinnamon    roasted nuts    balanced
Savio Blend,1000 Faces Coffee Roasters,"Ethiopia, Brazil","Sidamo, Espirito",not disclosed,Medium-light,peach    brown sugar    juicy
Costa Rica,Bixby Roasting Co.,Costa Rica,not disclosed,Catuaí,Very Dark,chocolate    almond    roasty
Queen Anne Blend,Ladro Roasting,not disclosed,not disclosed,not disclosed,Medium-light,chocolate    nutty    rich
Riqueza Dark Blend,Temple Coffee,"Colombia, Costa Rica, Guatemala",not disclosed,not disclosed,Medium-dark,cocoa    baking spices    full bodied
French Roast Decaf,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Very Dark,smoky    nutty    bold
Chair 6 Breakfast Blend,Evans Brothers Coffee Roasters,"Colombia, Brazil",not disclosed,not disclosed,Medium-light,cocoa    walnut    balanced
Lucent Blend,Dillanos Coffee Roasters,"Brazil, Ethiopia, Papua New Guinea",not disclosed,not disclosed,Medium,caramel    fruity    full bodied
Black Diamond Blend,Evans Brothers Coffee Roasters,"Colombia, Guatemala",not disclosed,"Caturra, Castillo, Colombia, Bourbon, Catuaí, Pache",Very Dark,chocolate    baking spices    rich
Breakfast Blend,Klatch Coffee,"Colombia, Kenya",not disclosed,not disclosed,Medium-light,citrus    floral    bright
Buena Vista Dark Roast,Verve Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-dark,roasty    s mores    rich
Metro French Roast Blend,Dillanos Coffee Roasters,"Nicaragua, Papua New Guinea, South America",not disclosed,not disclosed,Very Dark,smoky    caramel    bold
Day Tripper Blend,Good Folks Coffee,"Colombia, Peru",not disclosed,not disclosed,Medium,chocolate    caramel    rich
Unity Blend Organic,Dillanos Coffee Roasters,"Costa Rica, Guatemala, Honduras, Ethiopia",not disclosed,not disclosed,Medium-dark,chocolate    herbal    bold
Ladro Espresso Blend,Ladro Roasting,not disclosed,not disclosed,not disclosed,Medium,chocolate    caramel    full bodied
Women Producers Group,Spyhouse Coffee Roasters,Sumatra,not disclosed,"Catimor, Tim Tim",Medium,cocoa    baking spices    earthy
Tuscan Blend,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Very Dark,smoky    chocolate    bold
Espresso Toro,Colectivo Coffee,"Brazil, Costa Rica, Guatemala, Sumatra",not disclosed,not disclosed,Medium,chocolate    citrus    rich
Bell's Blend,1000 Faces Coffee Roasters,"Brazil, Guatemala",not disclosed,Various,Medium,chocolate    nutty    balanced
Lake Shore Drive Blend,Passion House Coffee Roasters,"Guatemala, Ethiopia",not disclosed,not disclosed,Light,chocolate    lemon curd    bright
Heavy Feels French,Goshen Coffee Company,Various,not disclosed,Various,Medium-dark,cocoa    herbal    rich
Flatlander Signature Blend,PT's Coffee Roasting Co.,Colombia,not disclosed,not disclosed,Medium,chocolate    caramel    balanced
El Salvador Manzano,Topeca Coffee Roasters,El Salvador,not disclosed,Red Bourbon,Light,nutty    floral    balanced
Pompadour Organic Espresso Blend,Noble Coffee Roasting,"Ethiopia, Peru, Guatemala",not disclosed,not disclosed,Medium,caramel    raspberry    complex
Guatemala Huehuetenango MAM,Dawson Taylor Coffee Roasters,Guatemala,not disclosed,"Bourbon, Typica, Caturra",Medium,apple    toffee    balanced
Colombia La Pradera,Anodyne Coffee Roasters,Colombia,not disclosed,"Caturra, Castillo, Colombia",Medium,cherry    caramel    complex
Peru Aroma del Valle Organic ,Cartel Roasting Co.,Peru,not disclosed,"Typica, Bourbon, Caturra",Light,vanilla    raspberry    vibrant
Skyline Espresso,Camber Coffee,"Colombia, Ethiopia",not disclosed,not disclosed,Medium-light,blackberry    cocoa    vibrant
Espresso Emilia,Mela Coffee Roasting Company,"Brazil, Sumatra",not disclosed,not disclosed,Medium-light,cocoa    hazelnut    balanced
Flyway Organic Blend,Wonderstate Coffee,"Colombia, Guatemala",not disclosed,not disclosed,Medium,cherry    citrus    vibrant
'66 Beach Bus,Bixby Roasting Co.,"Kenya, Nicaragua, Hawaii, US",not disclosed,"Caturra, Catuaí, Typica",Medium,milk chocolate    honey    balanced
The Truth,Cat & Cloud Coffee,Varies seasonally,not disclosed,various,Medium-light,sweet    juicy    complex
John Brown Signature Blend,PT's Coffee Roasting Co.,"Colombia, Ethiopia, Sumatra",not disclosed,"Colombia, Castillo, Caturra, Tim-Tim, Ateng",Medium,chocolate    black cherry    rich
Night Shift,Cat & Cloud Coffee,Brazil,not disclosed,Bourbon,Medium-dark,chocolate    nutty    full bodied
1985 Espresso,Panther Coffee,"Brazil, Nicaragua",not disclosed,not disclosed,Medium-light,chocolate    nutty    full bodied
Sumatra,Dillanos Coffee Roasters,Sumatra,not disclosed,"Typica, Catimor",Very Dark,earthy    herbal    full bodied
Cafe Malta,Kaldi's Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium-dark,smoky    chocolate    rich
Blue Heeler Signature Blend,Colectivo Coffee,Sumatra,not disclosed,not disclosed,Medium-dark,earthy    baking spices    bold
Black & Tan Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-dark,smoky    nutty    rich
After Party,Cat & Cloud Coffee,Brazil,not disclosed,Yellow Bourbon,Medium-dark,marshmallow    chocolate    rich
Blacksmith Espresso,Quills Coffee,"Brazil, Peru and Colombia",not disclosed,not disclosed,Medium,chocolate    fruity    rich
Smith Bridge Road Blend,Brandywine Coffee Roasters,"Brazil, Colombia, Costa Rica",not disclosed,not disclosed,Medium-dark,chocolate    nutty    full bodied
Colossus,Metric Coffee Co.,not disclosed,not disclosed,not disclosed,Very Dark,fudge    smoky    rich
Seabright House Blend,Verve Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-light,caramel    cherry    complex
Sumatra Kerinci,Parisi Coffee Roasters,Sumatra,not disclosed,"Andung Sari, Tim-Tim, Bor-Bor, Sigara Utang, P88",Medium,strawberry    pineapple    complex
Hannah's Private Reserve Blend,Dillanos Coffee Roasters,"Brazil, Guatemala, India",not disclosed,not disclosed,Medium-dark,chocolate    baking spices    full bodied
The 1950 Blend,Verve Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Medium,citrus    stone fruit    complex
Free Bird,Passion House Coffee Roasters,Guatemala,not disclosed,Typica,Medium-light,blackberry    grape    vibrant
Organic House Blend,Centri Coffee,"Colombia, Brazil",not disclosed,"Castillo, Catuaí, Yellow Catuaí, Typica, Caturra",Medium,chocolate    baking spices    balanced
Black Butte Gold,Sisters Coffee Company,"Brazil, Colombia, Papua New Guinea",not disclosed,"Bourbon, Mundo Novo, Arusha, Typica, Colombia, Castillo",Medium-dark,dark chocolate    nutty    full bodied
Vero Espresso,Mela Coffee Roasting Company,"Honduras, Sumatra",not disclosed,not disclosed,Medium-dark,smoky    chocolate    bold
Atomic Blend,Anodyne Coffe Roasting Co. ,not disclosed,not disclosed,not disclosed,Medium-dark,chocolate    caramel    bold
Brazil Fazenda Rainha Pulp Natural,Cat & Cloud Coffee,Brazil,not disclosed,Yellow Bourbon,Medium-light,peanut    grape jelly    full bodied
French Roast,Klatch Coffee ,"Brazil, Colombia, Honduras",not disclosed,not disclosed,Very Dark,molasses    smoky    bold
Fremont Blend Fair Trade & Organic,Caffe Ladro,not disclosed,not disclosed,not disclosed,Medium,nutty    floral    balanced
Papua New Guinea,Dillanos Coffee Roasters,Papua New Guinea,not disclosed,not disclosed,Medium,caramel    herbal    complex
Epiphany House Blend,Case Coffee Roasters,Varies Seasonally,not disclosed,not disclosed,Medium-light,chocolate    caramel    balanced
Peru Cafe De Mujer,Barefoot Coffee Roasters,Peru,not disclosed,"Bourbon, Catimor, Caturra, Pache, Typica",Medium,chocolate    baking spice    balanced
Ethiopia Shakiso,Topeca Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Medium,blueberry    date    juicy
Organic Ethiopia Chelchele,Dawson Taylor Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Light,lemon    blueberry    juicy
Brazil Canarinho,Colectivo Coffee,Brazil,not disclosed,not disclosed,Medium,chocolate    nutty    full bodied
The Beast,Barefoot Coffee Roasters,"Brazil, Guatemala, Colombia",not disclosed,"Caturra, Bourbon, Mundo Novo, Typica",Medium-dark,chocolate    roasty    rich
Super Ego,Thou Mayest Coffee Roasters,"Brazil, El Salvador",not disclosed,"Bourbon, Catuaí, Mundo Novo",Medium,molasses    chocolate    rich
Method Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium,caramel    citrus    balanced
French Roast Fair Trade Organic,Kaldi's Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Very Dark,smoky    caramel    bold
Espresso Primo,Dawson Taylor Coffee Roasters,"Brazil, Sumatra, Colombia, India",not disclosed,"Bourbon, Caturra, Typica, Catimor, Catuaí",Medium,chocolate    nutty    rich
Del Sol Breakfast Blend,Colectivo Coffee,"Colombia, Guatemala, Papua New Guinea",not disclosed,not disclosed,Medium-light,chocolate    citrus    balanced
Queen City,Caffe Vita Coffee Roasting Co,"Central and South America, Indonesia, Africa",not disclosed,not disclosed,Medium-dark,smoky    nutty    rich
Bassline Espresso Blend,Passion House Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium,chocolate    nutty    full bodied
Organic Decaf,Caffe Vita Coffee Roasting Co,Latin America,not disclosed,not disclosed,Very Dark,caramel    nutty    full bodied
Terra Incognita Espresso Blend,Portola Coffee Roasters,Ethiopia and Colombia,not disclosed,not disclosed,Medium,chocolate    fruity    rich
Peru ,Tony's Coffee,Peru,not disclosed,"Bourbon, Typica, Caturra, Pache",Medium,toffee    hazelnut    balanced
El Salvador Ayutepeque,Topeca Coffee Roasters,El Salvador,not disclosed,Red Bouron and Pacas,Light,nutty    chocolate    rich
Honduras Las Capucas,Mela Coffee Roasting Company,Honduras,not disclosed,"Pacas, Bourbon, Caturra, Catuai",Medium-dark,chocolate    roasted nuts    rich
Backcountry Blend,Dawson Taylor Coffee Roasters,"Colombia, Indonesia",not disclosed,"Bourbon, Typica, Caturra, Catimor",Medium,chocolate    earthy    full bodied
Typhoon Espresso,Higher Grounds Coffee,"Ethiopia, Peru, Sumatra",not disclosed,not disclosed,Medium,roasty    nutty    full bodied
Mexico Cristal,Quills Coffee,Mexico,not disclosed,"Bourbon, Caturra, Typica, Yellow Bourbon, Maracaturra, Maragogype, Catimor",Medium,almond    nougat    balanced
East Coast Espresso,Panther Coffee ,not disclosed,not disclosed,not disclosed,Medium-light,chocolate    fruity    rich
Decaf Equator Blend,Equator Coffees & Teas,not disclosed,not disclosed,not disclosed,Medium-dark,baking spices    fruity    rich
Mocha Java Fair Trade Organic ,Equator Coffees & Teas,not disclosed,not disclosed,not disclosed,Medium-dark,chocolate    fruity    complex
Colombia Gran Galope,Quills Coffee,Colombia,not disclosed,"Caturra, Colombia, Castillo",Medium-light,caramel    nutty    balanced
Cafe Kaldi,Kaldi's Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium,chocolate    caramel    rich
Nerve Tonic Espresso,Anodyne Coffee Roasting Co. ,not disclosed,not disclosed,not disclosed,Medium,chocolate    nutty    rich
Mokha Java Organic Blend,Noble Coffee Roasting,not disclosed,not disclosed,not disclosed,Medium,dark chocolate    red wine    silky
Tangletown,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Medium,chocolate    citrus    bright
Signature Espresso Blend,Topeca Coffee Roasters,El Salvador,not disclosed,"Red Bourbon, Pacas",Medium-light,chocolate    nutty    rich
Old Crow Cuppa Joe Blend,Red Rooster Coffee,"Colombia, Nicaragua, Ethiopia",not disclosed,"Ethiopian heirloom, Caturra, Catuaí, Bourbon, Colombia, Castillo",Medium,berries    chocolate    syrupy
Organic Espresso ,Caffe Vita Coffee Roasting Co,"South America, Indonesia, Africa",not disclosed,not disclosed,Medium,nutty    citrus    complex
Ethiopia Kayon Mountain Farm Natural,Evans Brothers Coffee Roasters,Ethiopia,not disclosed,"74110, 74112",Medium,citrus    berries    juicy
Vienna Roast ,Dawson Taylor Coffee Roasters,Colombia,not disclosed,"Caturra, Typica, Bourbon",Very Dark,chocolate    roasty    full bodied
Milwaukee Rock Star Blend,Anodyne Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium-dark,smoky    chocolate    bold
Schweitzer Mountain Blend,Evans Brothers Coffee Roasters,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    baking spices    full bodied
Rogue Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-dark,caramel    chocolate    balanced
Venice Blvd Blend,Bixby Roasting Co.,"Ethiopia, Kenya, Nicaragua",not disclosed,"Typica, Catimor, Catuaí, Caturra",Medium-dark,cacao    toasted nuts    rich
Breakfast Blend,Topeca Coffee Roasters,El Salvador,not disclosed,Red Bourbon and Pacas,Medium,caramel    baking spices    balanced
Novacella Decaf,Caffe Vita Coffee Roasting Co,"Central and South America, Indonesia",not disclosed,not disclosed,Medium-dark,smoky    nutty    full bodied
Night Owl ,Quills Coffee,"Guatemala, Colombia",not disclosed,"Bourbon, Caturra, Catuaí, Pache, Maragogype, Castillo, Colombia",Medium-dark,chocolate    caramel    rich
French Royale Fair Trade & Organic,Tony's Coffee,Central and South America,not disclosed,not disclosed,Very Dark,smoky    chocolate    bold
House Blend,Populace Coffee,"Colombia, Guatemala",not disclosed,not disclosed,Medium-light,chocolate    roasted nuts    balanced
Organic Hunky Dory Decaf,Sightglass Coffee,Varies Seasonally,not disclosed,not disclosed,Medium-dark,toffee    red grape    delicate
Funky Chicken Blend,Red Rooster Coffee,"Colombia, East Timor, Nicaragua",not disclosed,"Colombia, Caturra, Castillo, Catimor, Bourbon",Medium,dark chocolate    citrus    balanced
Organic Decaf French Roast,Centri Coffee,South America,not disclosed,various,Very Dark,roasty    baking spices    full bodied
Kona Blend,Dillanos Coffee Roasters,"Hawaii, USA and Pacific Islands",not disclosed,not disclosed,Medium-dark,nutty    chocolate    rich
Hi-Five,Case Coffee Roasters,"Guatemala, Papua New Guinea",not disclosed,not disclosed,Medium,chocolate    baking spices    full bodied
Brazil Fazenda Frutas,Goshen Coffee Company,Brazil,not disclosed,"Bourbon, Catuaí, Icatú, Arara",Medium-light,grape    mixed nuts    jammy
Breakfast Blend,Kaldi's Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium,chocolate    citrus    balanced
Pacific Decaf Fair Trade & Organic,Tony's Coffee,Central and South America,not disclosed,not disclosed,Very Dark,caramel    chocolate    bold
Dillons Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-dark,chocolate    nutty    rich
Birds & Bees Fair Trade Organic,Kaldi's Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium,caramel    nutty    bold
Toni ,Portrait Coffee,Honduras,not disclosed,Parainema,Medium,chocolate    walnut    balanced
Organic Tatoosh ,Zoka Coffee Roasting Co,"South America, Africa, Indonesia",not disclosed,not disclosed,Very Dark,chocolate    fruity    rich
Midway Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-dark,chocolate    nutty    bold
Familia Montano Colombia,Ritual Coffee Roasters,Colombia,not disclosed,"Castillo, Colombia",Medium-light,cherry    sugarcane    bright
Classic Blend,Kuma Coffee,"Honduras, Colombia, Guatemala",not disclosed,"Colombia, Pacas, Caturra",Medium,chocolate    stone fruit    balanced
Goodnight Moon Decaf,Camber Coffee,El Salvador,not disclosed,not disclosed,Medium,chocolate    red apple    complex
Thunder Cloud,Topeca Coffee Roasters,"Brazil, Ethiopia, Sumatra",not disclosed,"Yellow Bourbon, Ethiopian heirloom, Sigarutan, Ateng",Medium-dark,dark fruit    spice    rich
Star Valley Decaf Organic Blend,Wonderstate Coffee,Guatemala,not disclosed,"Caturra, Typica, Bourbon, Catimor",Medium-dark,caramel    nutty    balanced
Flor del Sol Signature Blend ,PT's Coffee Roasting Co.,"Colombia, Ethiopia",not disclosed,not disclosed,Medium,raisin    lemon    lively
Sumatra Mandheling Organic,Mela Coffee Roasting Company,Sumatra,not disclosed,"Caturra, Typica, Catimor",Medium,earthy    baking spices    full bodied
Decaf Chicago House Blend,Passion House Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium,chocolate    caramel    balanced
Decaf Honduras,Mela Coffee Roasting Company,Honduras,not disclosed,not disclosed,Medium-dark,caramel    vanilla    smooth
Epiphany House Espresso Blend,Case Coffee Roasters,Varies Seasonally,not disclosed,not disclosed,Medium-light,chocolate    caramel    balanced
Colombia Frontera de Planadas,Methodical Coffee,Colombia,not disclosed,"Caturra, Castillo",Medium,caramel    hazelnut    balanced
Southern Gothic ,Quills Coffee,"Peru, Colombia",not disclosed,not disclosed,Medium-light,dark chocolate    caramel    balanced
Bolivia Caranavi,Higher Grounds Coffee,Bolivia,not disclosed,"Caturra, Typica",Medium,chocolate    nutty    rich
Smooth Operator Brazil Cocarive Cooperative,Thou Mayest Coffee Roasters,Brazil,not disclosed,"Bourbon, Cataui, Mundo Novo",Medium-light,chocolate    caramel    rich
Organic Honduras COMSA Fair Trade,Centri Coffee,Honduras,not disclosed,"Bourbon, Catuaí, Lempira, Caturra, Typica, Pacas",Medium,cacao nibs    walnut    full bodied
Laid Back Decaf ,Thou Mayest Coffee Roasters,Colombia,not disclosed,"Caturra, Castillo and Typica",Medium,caramel    nutty    balanced
Decaf Fool's Gold Blend,Anodyne Coffee Roasting Co.,not disclosed,not disclosed,not disclosed,Medium,earthy    nutty    balanced
Boldly Go,Thou Mayest Coffee Roasters,Sumatra,not disclosed,Ateng,Medium-dark,earthy    chocolate    bold
Nicaragua Penas Blancas,Bixby Roasting Co.,Nicaragua,not disclosed,Catimor,Very Dark,chocolate    almond    full bodied
Atticus,Steadfast Coffee Roasters,"Latin America, Africa, South Seas",not disclosed,not disclosed,Medium,stone fruit    milk chocolate    balanced
Night Moves Blend,Passion House Coffee Roasters,Latin America,not disclosed,not disclosed,Medium-dark,chocolate    caramel    bold
Bronson French Roast,Verve Coffee Roasters,Colombia,not disclosed,"Castillo, Caturra, Colombia",Medium-dark,smoky    molasses    full bodied
Brazil Dulce Signature,Methodical Coffee,Brazil,not disclosed,"Yellow Catuaí, Mundo Novo",Medium,dark chocolate    nutty    balanced
4&20 French Roast ,Red Rooster Coffee,"East Timor, Nicaragua",not disclosed,"Catimor, Caturra, Catuaí, Bourbon",Medium-dark,chocolate    earthy    rich
Sleeping Goat Decaf ,Klatch Coffee,"Brazil, Colombia, Sumatra",not disclosed,not disclosed,Very Dark,smoky    chocolate    bold
Sumatra Fair Trade & Organic,Tony's Coffee,Sumatra,not disclosed,not disclosed,Medium,earthy    baking spices    full bodied
Brazil Serra Negra,Quills Coffee ,Brazil,not disclosed,various,Medium-light,nutty    chocolate    full bodied
Mayan Magic Espresso,Higher Grounds Coffee,"Ethiopia, Guatemala, Sumatra",not disclosed,not disclosed,Medium-dark,chocolate    fruity    rich
Velo French Roast,Colectivo Coffee,"Honduras, Sumatra",not disclosed,not disclosed,Very Dark,smoky    chocolate    bold
Brazil Cocarive,Parisi Artisan Coffee,Brazil,not disclosed,"Caturra, Catuai",Medium,chocolate    nutty    full bodied
Colombia Cauca,Good Folks Coffee,Colombia,not disclosed,"Caturra, Castillo, Colombia",Medium,stone fruit    apple    complex
Coffeehouse Blend,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    nutty    full bodied
Decaf Asterisk ,Olympia Coffee Roasting Co,Colombia,not disclosed,"Caturra, Colombia",Medium-light,chocolate    caramel    syrupy
Crazy Goat Blend,Klatch Coffee,"Brazil, Colombia, El Salvador, Sumatra",not disclosed,not disclosed,Medium,dark chocolate    spice    full bodied
Canopy Organic Blend,Wonderstate Coffee,Guatemala,not disclosed,"Bourbon, Caturra, Typica",Medium-dark,dark chocolate    brown sugar    balanced
Mexico Yachil,Higher Grounds Coffee,Mexico,not disclosed,"Bourbon, Caturra, Typica",Medium-dark,chocolate    nutty    rich
Colombia Nariño FUDAM,Evans Brothers Coffee Roasters,Colombia,not disclosed,"Colombia, Castillo, Caturra",Medium,chocolate    almond    balanced
Bistro Blend,Caffe Vita Coffee Roasting Co,"South America, Indonesia, Africa",not disclosed,not disclosed,Medium,caramel    nutty    rich
Decaf Funky Chicken,Red Rooster Coffee,not disclosed,not disclosed,not disclosed,Medium-dark,dark chocolate    citrus    balanced
Peru Rutas del Inca FTO,Kaldi's Coffee Roasting Co,Peru,not disclosed,"Catimor, Caturra, Typica, Bourbon, Catuaí",Medium-light,chocolate    apple    balanced
Dawn Patrol,Dawson Taylor Coffee Roasters,"Peru, Sumatra",not disclosed,"Typica, Bourbon, Catimor, Villa Sarchi",Medium,chocolate    nutty    balanced
Dark Roast,Populace Coffee,"Brazil, Nicaragua",not disclosed,"Bourbon, Typica, Catuaí",Medium-dark,dark chocolate    nutty    rich
Papua New Guinea Roots AX,Cartel Roasting Co.,Papua New Guinea,not disclosed,"Typica, Arusha",Medium-light,apple    peanut butter    rich
Colombia Decaf,Good Folks Coffee,Colombia,not disclosed,"Colombia, Castillo, Caturra",Medium,brown sugar    dried fruit    full bodied
Guatemala San Marcos,Higher Grounds Coffee,Guatemala,not disclosed,"Bourbon, Caturra, Typica",Medium-light,caramel    floral    balanced
Brazil AFASA,Evans Brothers Coffee Roasters,Brazil,not disclosed,"Mundo Novo, Yellow Bourbon, Catuaí, Yellow Catucai",Medium,cocoa    nutty    balanced
Ethiopia Masha Natural Espresso,Barefoot Coffee Roasters,Ethiopia,not disclosed,not disclosed,Medium-light,blackberry    floral    juicy
Black Dog Espresso,Goshen Coffee Company,Varies Seasonally,not disclosed,not disclosed,Medium-dark,cocoa    molasses    rich
A Shot in the Dark,Portola Coffee Roasters,"Brazil, Colombia",not disclosed,"Caturra, Typica, Catuaí, Colombia",Medium,chocolate    walnut    rich
Seismic,Metric Coffee Co.,not disclosed,not disclosed,not disclosed,Medium,orange    melon    sparkling
Decaf Colombia,Case Coffee Roasters,Colombia,not disclosed,not disclosed,Medium-light,chocolate    caramel    rich
Daydream Organic Blend,Noble Coffee Roasting,"Honduras, Peru and Sumatra",not disclosed,not disclosed,Medium-dark,smoky    earthy    bold
Onyx Blend,Klatch Coffee,"Brazil, Colombia, Costa Rica",not disclosed,not disclosed,Medium,chocolate    mandarin    balanced
Roma Espresso Blend,Parisi Artisan Coffee,not disclosed,not disclosed,not disclosed,Medium-dark,chocolate    caramel    full bodied
Floyd Farmhouse Blend,Red Rooster Coffee,"Colombia, Rwanda, Ethiopia",not disclosed,"Ethiopian heirloom, Typica, Caturra, Castillo, Colombia, Bourbon",Medium,chocolate    almond    complex
Decaf World Tour Organic Blend,Noble Coffee Roasting,"Ethiopia, Mexico, Sumatra",not disclosed,not disclosed,Medium,chocolate    caramel    full bodied
Honduras COMSA Marcala,Red Rooster Coffee,Honduras,not disclosed,not disclosed,Medium,dark chocolate    hazelnut    syrupy
Moka Java Blend,Dillanos Coffee Roasters,"Ethiopia, Sumatra",not disclosed,not disclosed,Very Dark,earthy    baking spices    complex
Darkest Side of the Moon,Passion House Coffee Roasters,Honduras,not disclosed,not disclosed,Medium-dark,dark chocolate    walnut    rich
Chicago House Blend,Passion House Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium-light,caramel    citrus    balanced
Colombia Paso Fino,Colectivo Coffee,Colombia,not disclosed,"Bourbon, Caturra, Typica, Colombia, Castillo",Medium,caramel    citrus    juicy
Boru Batak Sumatra,Bird Rock Coffee Roasters,Sumatra,not disclosed,"Ateng, Jember, Garundang",Light,dried fruit    tobacco    syrupy
Ember,Alma Coffee,Honduras,not disclosed,Parainema,Very Dark,dark chocolate    marshmallow    bold
West Coast Espresso,Panther Coffee,not disclosed,not disclosed,not disclosed,Medium-light,caramel    fruity    bright
Rio Azul Guatemala,Dillanos Coffee Roasters,Guatemala,not disclosed,Caturra and Typica,Medium-dark,chocolate    baking spices    balanced
Decaf Tangletown ,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Medium,chocolate    citrus    balanced
Organic House Espresso,Klatch Coffee,"Brazil, Colombia, Ethiopia, Sumatra",not disclosed,not disclosed,Medium,chocolate    nutty    balanced
Green Planet Organic Blend,Dillanos Coffee Roasters,"Costa Rica, Guatemala, Honduras",not disclosed,not disclosed,Medium-dark,chocolate    caramel    balanced
Ava Blonde Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Medium,nutty    chocolate    balanced
Breakfast Blend,Dawson Taylor Coffee Roasters,"Colombia, Sumatra",not disclosed,"Bourbon, Typica, Red Bourbon, Catimor",Medium-dark,chocolate    earthy    full bodied
Decaf Colombia Paso Fino ,Colectivo Coffee ,Colombia,not disclosed,not disclosed,Medium,caramel    fruity    balanced
Indigo,Colectivo Coffee,"Ethiopia, Colombia",not disclosed,"Ethiopian Heirloom, Caturra, Castillo, Colombia",Medium,berries    baking spices    juicy
Espresso Proper,Populace Coffee,"Colombia, Kenya",not disclosed,not disclosed,Medium-light,melon    ginger    lively
Cerberus,Barefoot Coffee Roasters,Honduras,not disclosed,not disclosed,Very Dark,dark chocolate    nutty    full bodied
Back 40 Blend,Tony's Coffee,"Colombia, Honduras, Guatemala, Nicaragua, Papua New Guinea",not disclosed,not disclosed,Very Dark,dark chocolate    smoky    bold
Espresso Clutch,Populace Coffee,"Costa Rica, Brazil and Colombia",not disclosed,not disclosed,Medium-light,chocolate    dried cherry    rich
Colombia Fondo Paez,Higher Grounds Coffee,Colombia,not disclosed,"Typica, Castillo",Medium-light,nutty    caramel    balanced
Dawson's House Blend,Dawson Taylor Coffee Roasters,"Sumatra, Costa Rica",not disclosed,"Caturra, Red Caturra, Catimor, Bourbon",Medium,chocolate    caramel    balanced
Paradox Blend,Dillanos Coffee Roasters,not disclosed,not disclosed,various,Medium-dark,vanilla    cola    rich
Standing on the Moon,Passion House Coffee Roasters,El Salvador,not disclosed,Red Bourbon,Medium-light,tangerine    nougat    complex
Fitzroy Blend,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Medium,caramel    chocolate    rich
Organic French Roast,Centri Coffee,South America,not disclosed,not disclosed,Medium-dark,caramel    roasty    rich
Ladro Decaf Blend Swiss Water Process,Caffe Ladro,not disclosed,not disclosed,not disclosed,Medium,chocolate    nutty    balanced
Ethiopia,Bixby Roasting Co.,Ethiopia,not disclosed,Ethiopian heirloom,Very Dark,cocoa    dried fruit    rich
Highland Humanity,Higher Grounds Coffee,Mexico,not disclosed,not disclosed,Medium-dark,caramel    chocolate    balanced
Theo Blend Fair Trade & Organic,Caffe Vita Coffee Roasting Co,"South America, Indonesia",not disclosed,not disclosed,Medium,caramel    baking spices    rich
Kenya,Dillanos Coffee Roasters,Kenya,not disclosed,SL-28,Medium,floral    citrus    juicy
Mexico Oaxaca,Parisi Coffee Roasters,Mexico,not disclosed,"Bourbon, Typica, Mundo Novo",Medium,chocolate    nutty    balanced
